scope,commodity,horizon,baseline,mae,rmse,mape,n
full,ALL,1,persistence,50.14632286867227,192.37132030619412,1.8651556745064828,64101
full,ALL,1,seasonal_naive,639.5188266758414,1250.549106407718,19.21059801049248,57404
full,ALL,1,ma4,117.63914195835443,322.5670106006068,4.322521382842468,63960
full,ALL,2,persistence,83.90722255621073,273.58043371338795,3.1130347475173625,63960
full,ALL,2,seasonal_naive,639.5188266758414,1250.549106407718,19.21059801049248,57404
full,ALL,2,ma4,141.64520174389529,370.6784321024849,5.183557509161312,63819
full,ALL,4,persistence,138.68983125310803,380.7766946730027,5.088905034923603,63679
full,ALL,4,seasonal_naive,639.5188266758414,1250.549106407718,19.21059801049248,57404
full,ALL,4,ma4,182.40184753647114,447.1377074970791,6.619017603436526,63539
full,ALL,12,persistence,272.86760067666285,608.0081401287842,9.676629071440553,62576
full,ALL,12,seasonal_naive,639.5188266758414,1250.549106407718,19.21059801049248,57404
full,ALL,12,ma4,296.6089217728003,643.3277892286053,10.375309895862127,62440
full,Maize,1,persistence,36.959216403330494,87.21395125591103,2.684465604618844,8716
full,Maize,1,seasonal_naive,313.3136572232767,464.2090082426788,19.696411730031734,8053
full,Maize,1,ma4,81.49652928182036,151.56089833905725,5.860219757655749,8703
full,Maize,2,persistence,60.7443022581157,129.29416684493793,4.38514590107368,8703
full,Maize,2,seasonal_naive,313.3136572232767,464.2090082426788,19.696411730031734,8053
full,Maize,2,ma4,96.92634677918423,173.67475101613803,6.947846717870891,8690
full,Maize,4,persistence,96.32482246552186,178.61256563968078,6.919842007762302,8677
full,Maize,4,seasonal_naive,313.3136572232767,464.2090082426788,19.696411730031734,8053
full,Maize,4,ma4,122.38383179036774,208.66948753389175,8.723251763316124,8664
full,Maize,12,persistence,180.7004834447018,285.10995879144133,12.628790670692277,8573
full,Maize,12,seasonal_naive,313.3136572232767,464.2090082426788,19.696411730031734,8053
full,Maize,12,ma4,191.64335026516835,295.33913689295895,13.248144841440507,8560
full,Paddy,1,persistence,59.51122858750702,203.81536753577268,3.1962910056525384,3554
full,Paddy,1,seasonal_naive,700.3278776725675,1161.0357159427929,28.291641504767078,2429
full,Paddy,1,ma4,145.7573746823597,339.0311451948586,7.730262577819014,3528
full,Paddy,2,persistence,103.38318012093724,296.6365723625096,5.515180432299071,3528
full,Paddy,2,seasonal_naive,700.3278776725675,1161.0357159427929,28.291641504767078,2429
full,Paddy,2,ma4,174.9631515596529,383.4994961196206,9.263327185471827,3502
full,Paddy,4,persistence,173.4654505991755,400.0898696452102,9.14964270573222,3477
full,Paddy,4,seasonal_naive,700.3278776725675,1161.0357159427929,28.291641504767078,2429
full,Paddy,4,ma4,221.96646487612423,456.006035981077,11.583673178435506,3452
full,Paddy,12,persistence,322.6864124479642,638.2508654890703,15.512223256200407,3283
full,Paddy,12,seasonal_naive,700.3278776725675,1161.0357159427929,28.291641504767078,2429
full,Paddy,12,ma4,337.77262636118786,662.6107694202956,15.897233627689047,3259
full,Rice,1,persistence,65.05585564093194,233.45062481596193,1.5477151965086435,30881
full,Rice,1,seasonal_naive,942.0810416060469,1617.2140554584207,18.910740204170366,27808
full,Rice,1,ma4,154.40094047245597,391.92813198183757,3.581199187152919,30815
full,Rice,2,persistence,108.71726460242769,330.0042515666391,2.559040351775349,30815
full,Rice,2,seasonal_naive,942.0810416060469,1617.2140554584207,18.910740204170366,27808
full,Rice,2,ma4,186.7074405511187,451.9485407235977,4.300049071669647,30749
full,Rice,4,persistence,181.28749857700015,461.8064748707717,4.196163992161455,30683
full,Rice,4,seasonal_naive,942.0810416060469,1617.2140554584207,18.910740204170366,27808
full,Rice,4,ma4,242.7741330282844,548.9374515098157,5.530663865545224,30617
full,Rice,12,persistence,369.2339784241483,753.5722126538756,8.197484701176382,30166
full,Rice,12,seasonal_naive,942.0810416060469,1617.2140554584207,18.910740204170366,27808
full,Rice,12,ma4,406.07179724116514,804.123059645745,8.896381710514854,30103
full,Seed Cotton (Phutti),1,persistence,157.13575077697993,391.0231019435549,3.8476459366115536,2666
full,Seed Cotton (Phutti),1,seasonal_naive,1305.1596956008266,1832.001857872009,30.607932712701864,2258
full,Seed Cotton (Phutti),1,ma4,342.6517994299927,635.2831727554478,8.467585792030073,2658
full,Seed Cotton (Phutti),2,persistence,258.856805797413,556.2815333285348,6.360940382333285,2658
full,Seed Cotton (Phutti),2,seasonal_naive,1305.1596956008266,1832.001857872009,30.607932712701864,2258
full,Seed Cotton (Phutti),2,ma4,404.80955194219825,720.6269225309594,10.031652022529174,2650
full,Seed Cotton (Phutti),4,persistence,411.54646130276484,758.4252543095932,10.157088958716272,2642
full,Seed Cotton (Phutti),4,seasonal_naive,1305.1596956008266,1832.001857872009,30.607932712701864,2258
full,Seed Cotton (Phutti),4,ma4,501.1787907627364,841.1897863341397,12.44843836270281,2634
full,Seed Cotton (Phutti),12,persistence,685.6047416971444,1056.2752493251298,17.05420588941287,2578
full,Seed Cotton (Phutti),12,seasonal_naive,1305.1596956008266,1832.001857872009,30.607932712701864,2258
full,Seed Cotton (Phutti),12,ma4,712.1030206704341,1066.4972102242846,17.97135657375018,2570
full,Sugar,1,persistence,1.0683478423382489,2.468831761949595,1.5017078425040966,9746
full,Sugar,1,seasonal_naive,13.002743129718674,18.512720331674533,16.691671263254072,9032
full,Sugar,1,ma4,2.607155325582761,4.475155846929048,3.6353483903418207,9732
full,Sugar,2,persistence,1.825329729121406,3.612239517530502,2.5643775441931176,9732
full,Sugar,2,seasonal_naive,13.002743129718674,18.512720331674533,16.691671263254072,9032
full,Sugar,2,ma4,3.1613995646272506,5.249785697936653,4.396101731422368,9718
full,Sugar,4,persistence,3.055637207533467,5.269033491380457,4.262310602290011,9704
full,Sugar,4,seasonal_naive,13.002743129718674,18.512720331674533,16.691671263254072,9032
full,Sugar,4,ma4,4.12459285959998,6.5288235423160685,5.702357698372131,9690
full,Sugar,12,persistence,6.285429559355019,9.364706079575107,8.599329562713164,9592
full,Sugar,12,seasonal_naive,13.002743129718674,18.512720331674533,16.691671263254072,9032
full,Sugar,12,ma4,6.853207401137527,10.056940176898646,9.312728108344395,9578
full,Wheat,1,persistence,28.39823119499381,88.95307403269409,1.4186532869709931,8538
full,Wheat,1,seasonal_naive,412.1736268429253,754.41264760255,16.575641207147836,7824
full,Wheat,1,ma4,71.17514174860152,168.92278111885895,3.514066424101482,8524
full,Wheat,2,persistence,48.965793667180634,133.86798328536125,2.43635510003853,8524
full,Wheat,2,seasonal_naive,412.1736268429253,754.41264760255,16.575641207147836,7824
full,Wheat,2,ma4,86.96936976479586,198.28706782072734,4.284969859566463,8510
full,Wheat,4,persistence,83.95455920881535,198.8370787671396,4.149272133318629,8496
full,Wheat,4,seasonal_naive,412.1736268429253,754.41264760255,16.575641207147836,7824
