series,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Maize | - | BahawalPur,52,31,32,52,52,52,49,23,52,52,34,13,21,51,24,0,0,0
Maize | - | Chichawatni,51,52,52,52,52,35,25,31,32,16,6,11,53,52,52,52,52,22
Maize | - | Faisalabad,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Maize | - | Gujranwala,52,53,52,50,52,52,48,53,52,52,52,52,53,52,52,37,0,0
Maize | - | Jhang,52,53,52,51,19,0,0,0,21,0,0,0,0,0,47,4,0,0
Maize | - | Lahore,52,53,52,52,52,52,35,53,52,52,26,0,0,0,0,0,0,0
Maize | - | Layyah,0,0,0,16,16,1,0,38,50,52,52,52,53,52,52,52,45,22
Maize | - | Multan,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Maize | - | Okara,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Maize | - | RahimYarKhan,8,13,11,47,52,40,29,27,31,0,5,0,0,10,7,8,0,0
Maize | - | Rawalpindi,52,53,52,52,52,52,52,53,52,52,52,38,53,52,37,52,52,22
Maize | - | Sargodha,52,53,52,52,50,33,52,53,52,51,48,40,50,52,52,52,51,21
Maize | - | Sialkot,0,0,0,32,13,15,10,0,46,52,52,52,53,7,47,52,52,0
Paddy | Basmati | BahawalNagar,36,0,0,10,26,0,0,0,5,11,7,0,0,0,0,0,0,0
Paddy | Basmati | BahawalPur,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paddy | Basmati | Chichawatni,28,15,43,36,24,18,12,23,5,6,0,9,11,0,0,0,0,0
Paddy | Basmati | Faisalabad,0,0,0,5,0,10,0,5,0,0,0,0,17,0,0,0,0,0
Paddy | Basmati | Gujranwala,12,12,12,6,10,1,6,8,0,0,0,0,10,1,0,0,0,0
Paddy | Basmati | Jhang,52,53,52,51,19,0,0,0,21,0,0,0,0,0,47,9,0,0
Paddy | Basmati | Lahore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paddy | Basmati | Layyah,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paddy | Basmati | Multan,33,24,15,25,18,30,20,24,20,12,10,1,0,0,0,0,0,0
Paddy | Basmati | Okara,48,32,33,31,33,32,33,45,16,26,18,17,21,26,8,0,0,0
Paddy | Basmati | RahimYarKhan,30,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Paddy | Basmati | Sargodha,52,24,41,27,0,5,0,4,1,7,2,14,23,11,10,0,3,0
Paddy | IRRI | BahawalNagar,19,11,0,10,26,0,0,0,31,10,8,0,0,0,0,0,0,0
Paddy | IRRI | BahawalPur,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paddy | IRRI | Chichawatni,5,11,13,31,7,7,18,18,0,0,0,0,3,0,0,0,0,0
Paddy | IRRI | Faisalabad,0,0,0,0,0,0,0,0,0,0,10,0,12,1,0,0,0,0
Paddy | IRRI | Jhang,52,53,52,51,19,0,0,0,21,0,0,0,0,0,47,24,0,0
Paddy | IRRI | Layyah,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paddy | IRRI | Multan,36,27,13,24,16,30,21,1,7,11,5,0,0,0,0,0,0,0
Paddy | IRRI | Okara,35,34,31,29,39,36,36,29,7,0,0,0,4,15,5,0,0,0
Paddy | IRRI | RahimYarKhan,25,19,0,0,5,0,8,6,0,0,0,0,0,0,0,0,0,0
Paddy | IRRI | Sargodha,52,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Paddy | IRRI | Sialkot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paddy | Kainat | BahawalNagar,0,0,0,0,0,0,0,0,26,20,21,8,1,0,0,0,0,0
Paddy | Kainat | Chichawatni,0,0,0,0,0,0,0,0,15,7,0,7,50,52,43,50,47,21
Paddy | Kainat | Faisalabad,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
Paddy | Kainat | Gujranwala,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paddy | Kainat | Jhang,0,0,0,0,0,0,0,0,21,0,0,0,0,0,47,23,0,0
Paddy | Kainat | Okara,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paddy | Kainat | Sargodha,0,0,0,0,0,0,0,0,0,10,0,16,28,17,23,4,7,0
Rice | Basmati 385 | BahawalNagar,52,53,52,32,26,0,0,0,11,0,5,5,0,0,0,0,0,2
Rice | Basmati 385 | BahawalPur,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0
