commodity,variety,city,gap_start,gap_end,gap_weeks
Maize,,BahawalPur,2010-03-26,2010-05-21,9
Maize,,BahawalPur,2010-06-04,2010-09-17,16
Maize,,BahawalPur,2010-10-29,2010-12-24,9
Maize,,BahawalPur,2011-01-07,2011-06-17,24
Maize,,BahawalPur,2015-06-12,2015-07-24,7
Maize,,BahawalPur,2016-05-13,2016-12-30,34
Maize,,BahawalPur,2019-08-02,2020-03-27,35
Maize,,BahawalPur,2020-06-05,2021-08-06,62
Maize,,BahawalPur,2022-04-08,2022-05-06,5
Maize,,BahawalPur,2022-12-09,2023-01-20,7
Maize,,BahawalPur,2023-02-03,2023-04-07,10
Maize,,BahawalPur,2023-05-12,2023-06-16,6
Maize,,BahawalPur,2023-06-30,2023-08-25,9
Maize,,BahawalPur,2023-09-08,2023-11-17,11
Maize,,Chichawatni,2010-05-07,2010-06-04,5
Maize,,Chichawatni,2014-03-28,2014-08-01,19
Maize,,Chichawatni,2014-10-03,2014-11-07,6
Maize,,Chichawatni,2014-12-05,2015-01-02,5
Maize,,Chichawatni,2015-03-06,2015-08-07,23
Maize,,Chichawatni,2015-10-16,2016-01-01,12
Maize,,Chichawatni,2016-01-15,2016-03-25,11
Maize,,Chichawatni,2016-04-08,2016-05-13,6
Maize,,Chichawatni,2016-05-27,2016-07-08,7
Maize,,Chichawatni,2016-07-29,2016-09-02,6
Maize,,Chichawatni,2016-09-16,2016-10-14,5
Maize,,Chichawatni,2016-10-28,2017-01-06,11
Maize,,Chichawatni,2017-06-16,2017-08-11,9
Maize,,Chichawatni,2017-09-01,2018-02-02,23
Maize,,Chichawatni,2018-03-30,2018-05-04,6
Maize,,Chichawatni,2018-05-18,2019-01-25,37
Maize,,Chichawatni,2019-02-15,2020-10-09,87
Maize,,Gujranwala,2012-07-27,2012-08-31,6
Maize,,Gujranwala,2015-06-05,2015-07-24,8
Maize,,Jhang,2012-11-23,2012-12-21,5
Maize,,Jhang,2013-02-01,2013-03-15,7
Maize,,Jhang,2013-03-29,2013-04-26,5
Maize,,Jhang,2013-05-17,2017-02-10,196
Maize,,Jhang,2017-06-16,2023-02-03,295
Maize,,Lahore,2015-07-17,2015-12-04,21
Maize,,Layyah,2012-04-06,2013-08-09,71
Maize,,Layyah,2013-10-11,2013-11-29,8
Maize,,Layyah,2013-12-13,2016-04-08,122
Maize,,Layyah,2017-01-06,2017-02-10,6
Maize,,Layyah,2025-03-07,2025-05-16,11
Maize,,RahimYarKhan,2009-03-27,2009-12-18,39
Maize,,RahimYarKhan,2010-01-29,2010-03-05,6
Maize,,RahimYarKhan,2010-03-19,2011-03-18,53
Maize,,RahimYarKhan,2011-05-13,2012-02-03,39
Maize,,RahimYarKhan,2014-03-14,2014-05-23,11
