commodity,variety,city,unit,start,end,span_weeks,present_weeks,filled_weeks,winsorized_weeks,coverage_pct,price_min,price_max,price_mean,price_median
Maize,,BahawalPur,Rs/40Kg (Maund),2009-01-02,2023-11-24,778,486,104,10,62.5,525.2,2900.0,1167.24,960.0
Maize,,Chichawatni,Rs/40Kg (Maund),2009-01-09,2026-05-29,908,589,109,14,64.9,494.09,3231.9,1414.4,998.85
Maize,,Faisalabad,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,908,1,10,99.9,533.61,4000.0,1460.33,1140.0
Maize,,Gujranwala,Rs/40Kg (Maund),2009-01-02,2024-09-13,820,794,20,17,96.8,633.33,3059.13,1367.04,1240.0
Maize,,Jhang,Rs/40Kg (Maund),2009-01-02,2024-01-26,787,262,37,2,33.3,500.0,3000.0,1132.5,932.0
Maize,,Lahore,Rs/40Kg (Maund),2009-01-02,2019-06-28,548,527,4,11,96.2,552.0,1510.0,937.34,920.0
Maize,,Layyah,Rs/40Kg (Maund),2012-01-13,2026-05-29,751,528,25,12,70.3,733.87,3302.74,1578.97,1281.67
Maize,,Multan,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,906,3,20,99.7,557.89,3528.2,1507.72,1247.67
Maize,,Okara,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,903,6,20,99.3,494.69,3314.96,1364.61,1020.08
Maize,,RahimYarKhan,Rs/40Kg (Maund),2009-03-06,2024-02-23,782,183,105,1,23.4,400.0,2330.0,987.93,868.27
Maize,,Rawalpindi,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,872,8,9,95.9,574.95,3740.0,1524.77,1225.2
Maize,,Sargodha,Rs/40Kg (Maund),2009-01-02,2026-05-22,908,721,145,17,79.4,558.16,3550.0,1452.53,1100.2
Maize,,Sialkot,Rs/40Kg (Maund),2012-04-27,2025-12-26,714,415,68,7,58.1,780.0,3547.2,1591.71,1500.0
Paddy,Basmati,BahawalNagar,Rs/40Kg (Maund),2009-01-02,2019-03-22,534,61,34,2,11.4,887.3,2274.26,1523.83,1700.0
Paddy,Basmati,BahawalPur,Rs/40Kg (Maund),2009-01-02,2010-02-19,60,31,9,1,51.7,537.68,1300.0,984.24,975.2
Paddy,Basmati,Chichawatni,Rs/40Kg (Maund),2009-01-09,2021-03-12,636,102,128,3,16.0,882.47,2472.6,1642.62,1500.0
Paddy,Basmati,Faisalabad,Rs/40Kg (Maund),2012-04-27,2021-12-24,505,21,16,0,4.2,2250.0,3000.0,2585.24,2552.0
Paddy,Basmati,Gujranwala,Rs/40Kg (Maund),2009-10-09,2022-09-30,678,37,41,2,5.5,567.57,5535.0,1878.34,1455.0
Paddy,Basmati,Jhang,Rs/40Kg (Maund),2009-01-02,2024-03-01,792,268,36,8,33.8,690.15,7092.9,2017.77,1285.83
Paddy,Basmati,Lahore,Rs/40Kg (Maund),2011-07-01,2011-07-01,1,1,0,0,100.0,2300.0,2300.0,2300.0,2300.0
Paddy,Basmati,Layyah,Rs/40Kg (Maund),2009-01-23,2009-02-06,3,3,0,0,100.0,570.0,575.0,571.67,570.0
Paddy,Basmati,Multan,Rs/40Kg (Maund),2009-01-02,2020-01-03,575,186,46,6,32.3,787.05,2378.56,1624.38,1520.15
Paddy,Basmati,Okara,Rs/40Kg (Maund),2009-01-02,2023-02-24,739,361,58,10,48.8,930.67,5692.9,1827.72,1530.0
Paddy,Basmati,RahimYarKhan,Rs/40Kg (Maund),2009-01-09,2016-02-12,371,34,30,0,9.2,650.0,1620.0,981.63,950.2
