mae,rmse,mape,n,horizon,commodity
96.18545702473668,340.37132478034187,2.2793194553734257,6330,1,ALL
64.84124944671089,157.26541944155483,2.454929931376565,676,1,Maize
90.79681504098986,289.4005052419579,3.7242727413601706,912,1,Paddy
119.37359323015392,408.59903489820357,1.7560038938814069,2878,1,Rice
198.75905721811148,547.1828834788615,3.699875297294812,416,1,Seed Cotton (Phutti)
1.4909729693086904,3.3139158409249436,1.2893486400335228,728,1,Sugar
76.23356330895801,221.08401697577537,2.5561800535736348,720,1,Wheat
162.265894188887,478.0408288271152,3.91050108191687,6330,2,ALL
113.36153256738942,242.61054392412314,4.257326356084126,676,2,Maize
162.0989716116029,461.0584864553136,6.517312084833601,912,2,Paddy
196.19249733444875,559.7631536624075,2.9077406309041964,2878,2,Rice
332.7484039178087,759.9939487707358,6.4095943892936145,416,2,Seed Cotton (Phutti)
2.622304517405623,5.14556807410604,2.2759425222966922,728,2,Sugar
135.69732089346428,313.622706844143,4.499966184072583,720,2,Wheat
275.04111891233174,654.4005321891404,6.693637180629057,6330,4,ALL
190.0988603611933,335.65443122573123,7.169541353639594,676,4,Maize
276.9541038963808,598.788966007183,11.127089478054446,912,4,Paddy
331.0450854366154,768.8913551674351,4.857329505817861,2878,4,Rice
535.0519595443111,1041.7673739121922,10.67016634850226,416,4,Seed Cotton (Phutti)
4.826520883694923,8.07180134289081,4.137974825466344,728,4,Sugar
251.4975445792385,463.4158891848638,8.257748059271766,720,4,Wheat
570.5143245359395,1070.774805079333,13.078951177414734,6330,12,ALL
394.34646985059334,575.7762160148733,14.653140176705037,676,12,Maize
561.8814077811792,940.4894723422582,19.8254008920376,912,12,Paddy
708.9713610739662,1291.4540444261484,9.75354272307383,2878,12,Rice
858.7849981177474,1491.2929467061226,15.622729527143983,416,12,Seed Cotton (Phutti)
11.114936840877803,14.908130087989402,9.294598551810815,728,12,Sugar
592.466397762561,834.5973994825702,18.704518602816258,720,12,Wheat
