mae,rmse,mape,n,commodity,horizon
93.24772619508262,172.8743362080885,2.7671232218809125,538,Wheat,1
147.7058942436632,253.10526092691322,4.355345105225603,525,Wheat,2
255.66511501769494,374.2286804982278,7.596088960096073,499,Wheat,4
500.80556127847,629.6874427994755,14.678981439049752,395,Wheat,12
120.58866162821127,289.56376119234477,4.635620732589056,437,Paddy,1
203.77259035614708,403.24021511284883,7.782245109092773,413,Paddy,2
328.1347629060162,514.8899599350639,12.623756113222099,370,Paddy,4
667.13318636663,859.3064258622169,20.630702462472897,225,Paddy,12
182.38795597369125,483.5402784976868,2.5619627815346373,178,Seed Cotton (Phutti),1
357.6715493833954,724.7117076389854,5.074960795609773,171,Seed Cotton (Phutti),2
453.2476893330567,856.2095164251612,6.510085902121331,157,Seed Cotton (Phutti),4
921.5222723583872,1202.861301243511,13.716658235032266,107,Seed Cotton (Phutti),12
