mae,rmse,mape,n,horizon,commodity,alpha
761.3603569631842,1093.701288472893,13.722580552725693,3245,12,ALL,0.1
471.91795776397885,595.3769595598598,15.678687982817868,458,12,Maize,0.1
1112.184346071705,1421.19501898407,25.8833775900002,225,12,Paddy,0.1
1012.3993796796659,1320.0280602727362,12.227507928339744,1591,12,Rice,0.1
1073.765172335998,1447.3751729135388,15.374938430948514,107,12,Seed Cotton (Phutti),0.1
7.471142080794715,9.603613498038996,6.194727926643666,462,12,Sugar,0.1
684.4838350046496,817.0093371160544,18.81623634702699,402,12,Wheat,0.1
484.469147409056,804.3572247086639,9.592695831504699,3245,12,ALL,0.5
279.08197978815605,386.495701028267,9.704642261526075,458,12,Maize,0.5
660.0999116708884,848.8991683497223,18.688639796417757,225,12,Paddy,0.5
636.4761856290565,989.005298239223,7.7531324913624395,1591,12,Rice,0.5
709.9641729016631,1138.8309570224312,9.95808429730927,107,12,Seed Cotton (Phutti),0.5
9.182378158642667,13.368172496281336,7.294505772491139,462,12,Sugar,0.5
504.77194011905834,657.6476453758071,14.19855070348052,402,12,Wheat,0.5
660.6294102918998,1025.6928371522354,14.853254093080373,3245,12,ALL,0.9
639.9478379820355,754.1328309101616,23.935834007821295,458,12,Maize,0.9
751.8947700585549,948.3241882122671,23.974786015804547,225,12,Paddy,0.9
785.5405606387073,1174.7727772164972,10.635493202027813,1591,12,Rice,0.9
2126.5540147856877,2335.3474139225436,29.88146698659139,107,12,Seed Cotton (Phutti),0.9
15.134604321914761,19.735188872580984,12.530996325893303,462,12,Sugar,0.9
490.401752694755,653.3558179120712,14.761601364063214,402,12,Wheat,0.9
