mae,rmse,mape,n,horizon,commodity
131.5675099718772,313.1304532390822,2.864025710928757,4544,1,ALL
85.03984938866905,147.94406928507271,3.1793778028838733,601,1,Maize
160.93451056847653,302.20488176771977,5.838599329111198,437,1,Paddy
172.04433165654208,386.6009227240694,2.259179874120889,2176,1,Rice
260.97141828696886,528.7403814316062,3.603112206378286,178,1,Seed Cotton (Phutti)
2.6556690441718653,4.50511325312056,2.2689798671626997,617,1,Sugar
100.83272667518784,180.7398994603619,2.9805026303620514,535,1,Wheat
228.86053208480195,457.4048346401186,4.798146950582409,4414,2,ALL
135.84689455169874,221.85722529625755,5.132701126975802,588,2,Maize
285.99642740209174,459.66671965272207,9.594092975108595,413,2,Paddy
300.30317449942396,557.4072096842251,3.760579846806132,2117,2,Rice
443.096799033858,785.6436791666605,6.121229023771198,171,2,Seed Cotton (Phutti)
4.872655946248687,7.44930150446924,3.9006112845074705,603,2,Sugar
187.25345885669512,290.16078329916354,5.438095163175613,522,2,Wheat
364.1477182431049,641.2375745710825,7.243014584396515,4163,4,ALL
206.47607416552347,293.7801103831708,7.4821938923509705,562,4,Maize
418.33554171231384,609.3674244169814,13.923816669036535,370,4,Paddy
506.2251366629581,808.8137298263238,6.234803041714486,2003,4,Rice
496.9742453032017,898.3753141357408,6.879842077618141,157,4,Seed Cotton (Phutti)
5.96814253046779,9.642128425500266,5.0068713257600965,575,4,Sugar
301.8097978385864,423.08199139587344,8.767072316019567,496,4,Wheat
537.7381971867318,863.7287323171769,11.606273910359711,3233,12,ALL
326.9108246022923,441.34043930258275,11.595065011044774,458,12,Maize
754.8457281128268,990.6874493922253,21.239836369578402,225,12,Paddy
696.6767662302354,1052.7805099846098,8.84053691575063,1582,12,Rice
850.3263686754208,1206.7936520984235,11.99088446787025,107,12,Seed Cotton (Phutti)
15.744475864873001,21.78177502703586,12.458268260225012,469,12,Sugar
557.220459710051,700.6026784280805,16.127292707025916,392,12,Wheat
